Desa/Kelurahan,I.2.1.1,I.3.1.1,I.4.1.1,II.1.1.2,II.1.2.3,II.1.3.1,II.3.3.2
Balauring,91.66666666666666,0.0,100.0,8.333333333333332,50.0,25.0,33.33333333333333
Benihading,90.0,3.3333333333333335,76.66666666666667,10.0,100.0,100.0,13.333333333333334
Bour,70.58823529411765,11.76470588235294,70.58823529411765,82.35294117647058,58.82352941176471,83.33333333333334,58.82352941176471
Dikesare,22.22222222222222,0.0,63.888888888888886,0.0,100.0,,22.22222222222222
Duawutun,80.0,0.0,55.00000000000001,0.0,100.0,,70.0
Dulitukan,36.36363636363637,0.0,95.45454545454545,0.0,100.0,,4.545454545454546
Hoelea I,96.42857142857143,0.0,91.07142857142857,60.71428571428571,14.285714285714285,0.0,28.57142857142857
Ile Kimok,93.10344827586206,0.0,100.0,55.172413793103445,93.10344827586206,33.33333333333333,37.93103448275862
Kalikur,69.23076923076923,0.0,80.76923076923077,84.61538461538461,0.0,9.090909090909092,38.46153846153847
Katakeja,7.6923076923076925,0.0,3.8461538461538463,53.84615384615385,100.0,25.0,7.6923076923076925
Labalimut,80.0,0.0,80.0,0.0,100.0,50.0,60.0
Lamatuka,96.15384615384616,0.0,86.53846153846155,0.0,96.15384615384616,50.0,26.923076923076923
Laranwutun,72.72727272727273,0.0,52.27272727272727,50.0,95.45454545454545,50.0,50.0
Lolong,30.434782608695656,0.0,86.95652173913044,0.0,100.0,,0.0
Mahal,52.17391304347826,0.0,95.65217391304348,82.6086956521739,30.434782608695656,,30.434782608695656
Merdeka,52.0,0.0,88.0,28.000000000000004,96.0,,20.0
Muruona,25.806451612903224,0.0,24.193548387096776,48.38709677419355,93.54838709677419,,12.903225806451612
Nubamado,51.85185185185185,7.4074074074074066,83.33333333333334,29.629629629629626,92.5925925925926,66.66666666666666,18.51851851851852
Pada,41.66666666666667,8.333333333333332,50.0,16.666666666666664,83.33333333333334,0.0,25.0
Paubokol,100.0,0.0,100.0,45.0,95.0,,55.00000000000001
Puor,73.68421052631578,26.31578947368421,89.47368421052632,0.0,84.21052631578947,16.666666666666664,36.84210526315789
Riangbao,68.75,0.0,65.625,37.5,100.0,83.33333333333334,18.75
Tagawiti,40.0,0.0,90.0,0.0,100.0,,20.0
Todanara,30.434782608695656,0.0,47.82608695652174,52.17391304347826,95.65217391304348,15.384615384615385,21.73913043478261
Tubuk Rajan,100.0,0.0,100.0,0.0,100.0,0.0,100.0
Tubungwalang,65.0,0.0,85.0,20.0,30.0,0.0,45.0
Waienga,52.17391304347826,0.0,100.0,91.30434782608695,95.65217391304348,90.47619047619048,21.73913043478261
Watodiri,71.42857142857143,0.0,60.71428571428571,3.571428571428571,96.42857142857143,,10.714285714285714
Wuakerong,73.33333333333333,0.0,80.0,40.0,100.0,,60.0
