Desa/Kelurahan,Luas Tanah yang Dikuasai,Ketersediaan Air untuk Budidaya,Asal Benih,Pengadaan Pestisida,Pengadaan Pupuk,Melakukan pemanfaatan limbah pertanian,Rasio rerata penghasilan dengan UMK
Balauring,0.9097222222222221,0.0,1.0,0.09126984126984126,0.5,0.25,0.3333333333333333
Benihading,0.8916666666666667,0.12666666666666665,0.7573333333333333,0.10952380952380952,1.0,1.0,0.13333333333333333
Bour,0.6813725490196079,0.44705882352941173,0.6941176470588235,0.9019607843137255,0.5882352941176471,0.8333333333333335,0.5882352941176471
Dikesare,0.15740740740740738,0.0,0.6244444444444444,0.0,1.0,0.0,0.2222222222222222
Duawutun,0.7833333333333333,0.0,0.532,0.0,1.0,0.0,0.7000000000000001
Dulitukan,0.31060606060606066,0.0,0.9527272727272725,0.0,1.0,0.0,0.04545454545454546
Hoelea I,0.9613095238095241,0.0,0.9071428571428569,0.6649659863945578,0.14285714285714285,0.0,0.2857142857142857
Ile Kimok,0.925287356321839,0.0,1.0,0.6042692939244664,0.9310344827586207,0.3333333333333333,0.3793103448275862
Kalikur,0.6666666666666666,0.0,0.7999999999999999,0.9267399267399268,0.0,0.09090909090909093,0.3846153846153847
Katakeja,0.0,0.0,0.0,0.5897435897435898,1.0,0.25,0.07692307692307693
Labalimut,0.7833333333333333,0.0,0.7919999999999999,0.0,1.0,0.5,0.6
Lamatuka,0.9583333333333334,0.0,0.86,0.0,0.9615384615384617,0.5,0.2692307692307692
Laranwutun,0.7045454545454546,0.0,0.5036363636363635,0.5476190476190477,0.9545454545454544,0.5,0.5
Lolong,0.24637681159420297,0.0,0.8643478260869565,0.0,1.0,0.0,0.0
Mahal,0.4818840579710144,0.0,0.9547826086956521,0.9047619047619048,0.30434782608695654,0.0,0.30434782608695654
Merdeka,0.48,0.0,0.8752,0.3066666666666667,0.96,0.0,0.2
Muruona,0.1962365591397849,0.0,0.21161290322580648,0.5299539170506913,0.9354838709677421,0.0,0.12903225806451613
Nubamado,0.47839506172839497,0.28148148148148144,0.8266666666666667,0.3245149911816578,0.9259259259259259,0.6666666666666666,0.1851851851851852
Pada,0.3680555555555556,0.3166666666666666,0.48000000000000004,0.18253968253968253,0.8333333333333335,0.0,0.25
Paubokol,1.0000000000000002,0.0,1.0,0.4928571428571429,0.9500000000000001,0.0,0.55
Puor,0.7149122807017543,0.9999999999999999,0.8905263157894736,0.0,0.8421052631578947,0.16666666666666666,0.3684210526315789
Riangbao,0.6614583333333334,0.0,0.6425,0.41071428571428575,1.0,0.8333333333333335,0.1875
Tagawiti,0.35,0.0,0.8959999999999999,0.0,1.0,0.0,0.2
Todanara,0.24637681159420297,0.0,0.4573913043478261,0.5714285714285714,0.9565217391304348,0.15384615384615383,0.2173913043478261
Tubuk Rajan,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0
Tubungwalang,0.6208333333333333,0.0,0.844,0.21904761904761905,0.3,0.0,0.45
Waienga,0.4818840579710144,0.0,1.0,1.0,0.9565217391304348,0.9047619047619049,0.2173913043478261
Watodiri,0.6904761904761905,0.0,0.5914285714285713,0.0391156462585034,0.9642857142857145,0.0,0.10714285714285714
Wuakerong,0.711111111111111,0.0,0.7919999999999999,0.4380952380952381,1.0,0.0,0.6
